informal work in eng,SECTOR,SUBSECTOR
office supplies,Business,"Wholesale of paper, plastic and scratch packaging, paper products and stationery"
official correspondence,Service,Other services
official documentation,Service,Other services
official meetings,Service,Other services
official travel,Service,Other services
Oil and Fiber Crops Development and Post-Harvest,agriculture,Agriculture
oil and gas industry,Mining and Quarrying,Crude oil and natural gas extraction; Oil and gas related to extraction Service
Oilseed and Legume Crop Development and Post-Harvest,agriculture,Agriculture
Old Tax Debt Tracking,Service,Other services
ON- FARM ENTERPRISE- HIGHLANDS RESILIENCE ACTIVITY,agriculture,Agriculture
on-call work,Service,Other services
One Health,Health,Health
Online Merchants,Business,Wholesale business in specialized stores
Online Promotion,Service,Advertising
Online Volunteerism,Service,Other services
Operation and Customer Client Care,Service,Other services
Operations,Service,Other services
Ophthalmic,Health,Health
Oral Literature Study and Folklore Development,Service,Research and experimental development work on cultural and social life
organic fertilizer utilization expert,agriculture,Production of natural fertilizer
organizational chart,Service,Other services
organizational health,Service,Other services
organizations of persons with disabilities support and service,Service,Social work services
Original Titles,Service,Other services
Oromo Language Audio Recording,Service,Media programming
Outcome Assessment Research (OA-RA,Service,Research and Experimental Development Works on Economics and Development
Outcome-Based Workplans,Service,Other services
OUTSOURCED ICT SERVICE PROVIDER,ICT and digital work,Information Communication Technology Training Service
Outsourcing,Service,Employment agencies and recruitment agencies
Packaged Products Measurement Accuracy Verification,Service,Laboratory calibration
Paint Production Division Manager,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
palace cultural food and beverage preparation,Tourism and art,"Resturant,Coffee shop"
palace food preparation,Tourism and art,"Resturant,Coffee shop"
palace heritage care and cleaning,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
palace hospitality,Tourism and art,Hotels and Motels 
parasitic and invasive weed study and analysis,agriculture,Agriculture
Parent Outreach,Service,Social work services
park administration,Service,"Conservation of plants, animals and nature attractions"
park and museum safety,Service,Security Service
part time employment,Service,Employment agencies and recruitment agencies
participatory development,Service,Other services
participatory forest management,agriculture,Forest development and related services
partner projects coordination,Service,Other services
partner-led recovery projects plan preparation and implementation,Service,Other services
Partnership,Service,Other services
Partnership Engagement,Service,Other services
partnerships,Service,Other services
pastoral and agro-pastoral development,agriculture,Agriculture
pastoral and lowland area development,agriculture,Agriculture
pastoral and lowland area research,Service,Research and experimental development activities in agriculture and animal husbandry
pastoralist and special support,Service,Social work services
pastoralist study and research,Service,Research and experimental development activities in agriculture and animal husbandry
payments and expenditure,Service,Accounting audit and adminstrative works
pension schemes,Service,Finance and Administration Services
people with disabilities,Service,Social work services
Performance Based Financing (PBF) Regional Focal Person,Service,Finance and Administration Services
